editorid,name
22119,"Brown, Barry Alexander"
22143,"Brown, Bruce (I)"
22205,"Brown, Dana (II)"
22293,"Brown, J. Randolph"
22406,"Brown, Michael (I)"
22440,"Brown, O. Nicholas"
22481,"Brown, Robert (II)"
22606,"Browne, Reg"
22800,"Brummer, Richard S."
22893,"Brunjes, Ralph"
23055,"Bryant, Edwin H."
23065,"Bryant, John (III)"
23146,"Bräuer, Mona"
23160,"Brücker, Wolf-Dietrich"
23182,"Buba, Pasquale"
23361,"Buckley, Norman"
23383,"Buckow, Friedel"
23510,"Buff IV, Conrad"
23629,"Bulbulian, Maurice"
23947,"Burgess, Peter (I)"
24020,"Burke, Erik (I)"
24071,"Burke, Shondra"
24163,"Burnett, John F."
24370,"Burstein, Nanette"
24408,"Burton, Joseph (I)"
24413,"Burton, Mark (VII)"
24427,"Burtt, Ben"
24465,"Busch, Todd"
24668,"Butler, Bill (II)"
24712,"Butler, Les (I)"
24740,"Butler, Stephen (I)"
24782,"Buttgereit, Jörg"
24839,"Buñuel, Luis"
24857,"Byers, Charles"
24859,"Byers, Greg (I)"
25445,"Cahn, Edward L."
25449,"Cahn, Philip"
26009,"Cambas, Jacqueline"
26014,"Cambern, Donn"
26061,"Cameron, James (I)"
26137,"Camp, Kathryn"
26154,"Campana, Joe (I)"
26286,"Campbell, Malcolm (I)"
26512,"Candib, Richard"
26612,"Cannon, Bruce (I)"
26854,"Caplan, Cathy"
26911,"Cappelli, Giancarlo"
26927,"Cappuccilli, Joanna"
27007,"Caraway, Jerry (I)"
27208,"Carey, Amy"
27281,"Carkhuff, David"
27334,"Carlisle, Norman"
27506,"Carnahan, Joe"
27555,"Carnochan, John"
27628,"Carpenter, John (I)"
27708,"Carr, John K."
27763,"Carras, Anthony"
27837,"Carrere, Leon"
27946,"Carroll, Bryan H."
28018,"Carruth, Milton"
28020,"Carruth, William C."
28158,"Carter, John (I)"
28216,"Carter-Giez, Krysia"
28251,"Cartwright, William T."
28640,"Cassidy, Jay"
28973,"Castro, Emmanuelle"
29109,"Catelain, Suzanne"
29128,"Cates, Jonathan"
29196,"Cattozzo, Leo"
29531,"Celada, Anna"
29637,"Ceperac, Branka"
29643,"Ceppi, François"
29696,"Cerniello, Anthony"
30261,"Chandler, Michael (I)"
30382,"Chang, William (I)"
30441,"Chapin, Doug (II)"
30447,"Chaplin, Charles"
30485,"Chapman, Joan E."
30707,"Charvein, Denise"
30893,"Chavance, Pascale"
31007,"Cheek, Lisa"
31016,"Cheesman, Ted"
31025,"Chegwidden, Ann"
31330,"Cherot, Christopher Scott"
31393,"Chestnut, Scott"
31419,"Cheung, Ka-Fai"
31421,"Cheung, Kar Fei"
31429,"Cheung, Peter (I)"
31488,"Chew, Richard (I)"
31526,"Chiang, Hsing-lung"
31577,"Chiate, Debra"
31589,"Chibnall, Jonathan"
31866,"Chiu, Francisco"
32126,"Chorynska, Irena"
32270,"Christen, Ueli"
32461,"Christopher, T.M."
32562,"Chulack, Fred A."
32671,"Churgin, Lisa Zeno"
32754,"Cibelli, Christopher"
32789,"Cichocki, Paul (I)"
32896,"Cinquini, Roberto"
32907,"Cioffi, Louis F."
33067,"Clair, René"
33075,"Clancey, Margaret"
33130,"Clark, Al (I)"
33139,"Clark, Asa Boyd"
33196,"Clark, James B. (I)"
33207,"Clark, Jim (I)"
33356,"Clarke, Frank (III)"
33516,"Clayton, Curtiss"
33596,"Clement, Charles (I)"
33697,"Clifford, Graeme"
33857,"Coates, Anne V."
33904,"Coblentz, James"
33919,"Coburn, Arthur"
34024,"Codron, David"
34025,"Cody, Alan (I)"
34063,"Coen, Ethan"
34065,"Coen, Joel"
34168,"Cohen, Alysha"
34190,"Cohen, Ben H."
34230,"Cohen, Emanuel"
34334,"Cohen, Steven (I)"
34560,"Cole, Stan"
34567,"Cole, William (II)"
34677,"Colina, Luis"
34767,"Collin, Françoise"
34997,"Colonna, Matthew"
35024,"Colton, Craig A."
35118,"Comets, Jacques"
35286,"Congdon, Dana"
35502,"Conrad, Scott (I)"
35593,"Conte, Mark"
35825,"Cook, Wayne (I)"
35838,"Cooke, Malcolm"
35848,"Cooke, Tricia (I)"
35940,"Cooper, Christopher (IV)"
35952,"Cooper, Dany"
36052,"Cooper, Winifred"
36081,"Copelan, Jodie"
36094,"Copeland, Rob (I)"
36362,"Cormon, Catherine"
36487,"Corrao, Angelo"
36552,"Corriveau, André"
36675,"Corwin, Hank (I)"
36693,"Coscarelli, Don"
36932,"Cotret, Anne-Marie"
36941,"Cotte, Camille"
37020,"Coughlin, Cari"
37045,"Coulson, David"
37046,"Coulson, Peter"
37140,"Coussein, Sophie"
37320,"Cox, Alfred"
37368,"Cox, Joel (I)"
37462,"Crafford, Ian"
37467,"Craft, Michael (I)"
37567,"Crandall, Robert O."
37605,"Cranston, Helga"
37632,"Craven, Garth"
37636,"Craven, Samuel"
37653,"Crawford Sr., Bob"
37814,"Cretcher, Mark"
37903,"Cristiani, Gabriella"
38113,"Crosland Jr., Alan"
38270,"Crowther, David"
38516,"Csákány, Zsuzsa"
38893,"Cunningham, Susan E."
39005,"Currier, Richard C."
39008,"Currin, John (I)"
39097,"Curtiss, Edward"
39194,"Cutry, Claudio M."
39488,"D'Angiolillo, Luis César"
39509,"D'Arcy, Marcus"
39519,"D'Augustine, Joe"
39635,"Da Roma, Eraldo"
40028,"Dalva, Robert"
40195,"Danevic, Nena"
40229,"Daniel, Bill (II)"
40444,"Dante, Joe (I)"
40520,"Dardill, Eric"
40892,"David, Amnon"
40987,"Davidson, Andrew (II)"
41058,"Davies, Carmel"
41076,"Davies, Freeman A."
41113,"Davies, Peter (III)"
41179,"Davis, Battle"
41209,"Davis, Chris (XII)"
41312,"Davis, Julie (I)"
41359,"Davis, Mona (I)"
41370,"Davis, Peggy (III)"
41392,"Davis, Roderick (I)"
41394,"Davis, Ron (I)"
41556,"Dawson, Ralph"
41611,"Day, Lisa (I)"
41612,"Day, Mark (I)"
41770,"De Bello, John (I)"
41830,"de Casabianca, Denise"
42008,"de Jarnette, Bill"
42053,"de La Bouillerie, Hubert"
42248,"de Leuw, Ray"
