movieid,businesstext
1677472,"BT: USD 1,000"
1677516,"AD: 45 (Netherlands) (31 December 2001)
AD: 26 (Netherlands) (31 December 2000)

BT: USD 6,000,000

GR: USD 6,851,636 (USA) (9 May 1999)
GR: USD 6,845,773 (USA) (2 May 1999)
GR: USD 6,835,449 (USA) (25 April 1999)
GR: USD 6,803,183 (USA) (18 April 1999)
GR: USD 6,749,019 (USA) (11 April 1999)
GR: USD 6,736,338 (USA) (4 April 1999)
GR: USD 6,704,599 (USA) (28 March 1999)
GR: USD 6,624,543 (USA) (21 March 1999)
GR: USD 6,239,897 (USA) (14 March 1999)
GR: USD 5,297,182 (USA) (7 March 1999)
GR: USD 3,244,277 (USA) (28 February 1999)

OW: USD 3,244,277 (USA) (28 February 1999) (976 screens)

SD: 9 March 1998 - 22 April 1998

WG: USD 3,244,277 (USA) (28 February 1999) (976 screens)"
1677631,"AD: 2,911,076 (Spain) (20 December 20002)

BT: USD 10,500,000

CP: Metro-Goldwyn-Mayer Inc.; 3 April 1968; LP36136 (in copyright registry)
CP: © Renewed 1996 by Turner Entertainment Company

GR: USD 239,621 (USA) (31 December 2001)
GR: USD 56,954,992 (USA) (31 December 2001)
GR: USD 56,715,371 (USA) (31 December 1977)
GR: USD 21,500,000 (USA) (31 December 1970)
GR: USD 190,700,000 (Worldwide) (2010)
GR: USD 31,000,000 (Worldwide) (1973)
GR: USD 12,000,000 (Non-USA) (31 December 1969)
GR: USD 49,782 (Australia) (18 March 2001)
GR: USD 165,590 (Germany) (4 March 2001)
GR: USD 2,978,768 (Hong Kong) (16 May 2010)
GR: EUR 1,871,524 (Spain) (20 December 2002)

PD: 28 January 1965 - 10 March 1968

RT: USD 25,522,000 (USA)
RT: USD 31,900,000 (Worldwide)

SD: 29 December 1965 - 7 July 1966"
1678036,"AD: 51,157 (Sweden)

BT: USD 28,000,000

CP: MGM/UA Entertainment Co.

GR: USD 40,200,000 (USA)
GR: SEK 1,727,340 (Sweden)

OW: USD 7,393,361 (USA) (11 July 2012) (1126 screens)

RT: USD 20,186,660 (USA)

SD: 7 February 1984 - November 1984"
1678591,"AD: 801 (Germany) (3 May 1998) (opening week)
AD: 1,702 (Netherlands) (31 December 1998)

CP: (1997) British Broadcasting Corporation

GR: GBP 175,418 (UK) (19 April 1998)

OW: DEM 9,073 (Germany) (3 May 1998) (7 screens)

WG: GBP 43,339 (UK) (19 April 1998) (77 screens)"
1679029,"AD: 48,058 (Denmark) (14 September 2000)
AD: 28,304 (Netherlands) (31 December 2000)

BT: USD 43,000,000

CP: © 2000 Columbia Pictures Industries, Inc. (on print)

GR: USD 37,035,515 (USA) (6 August 2000)
GR: USD 36,982,260 (USA) (30 July 2000)
GR: USD 36,905,472 (USA) (23 July 2000)
GR: USD 36,792,291 (USA) (16 July 2000)
GR: USD 36,638,909 (USA) (9 July 2000)
GR: USD 36,500,861 (USA) (4 July 2000)
GR: USD 36,306,407 (USA) (25 June 2000)
GR: USD 36,265,526 (USA) (18 June 2000)
GR: USD 36,175,778 (USA) (11 June 2000)
GR: USD 36,026,787 (USA) (4 June 2000)
GR: USD 35,835,128 (USA) (28 May 2000)
GR: USD 35,425,261 (USA) (21 May 2000)
GR: USD 34,352,917 (USA) (14 May 2000)
GR: USD 32,037,145 (USA) (7 May 2000)
GR: USD 28,576,947 (USA) (30 April 2000)
GR: USD 22,036,686 (USA) (23 April 2000)
GR: USD 10,310,672 (USA) (16 April 2000)
GR: GBP 462,461 (UK) (2 July 2000)
GR: GBP 362,474 (UK) (25 June 2000)
GR: GBP 127,743 (UK) (18 June 2000)
GR: USD 62,198,945 (Worldwide)
GR: USD 433,283 (Argentina)
GR: USD 305,645 (Denmark) (14 September 2000)

OW: USD 10,310,672 (USA) (16 April 2000) (2,523 screens)
OW: GBP 127,743 (UK) (18 June 2000) (162 screens)

SD: 14 April 1999 - 14 July 1999

WG: USD 28,582 (USA) (6 August 2000) (77 screens)
WG: USD 37,566 (USA) (30 July 2000) (112 screens)
WG: USD 57,037 (USA) (23 July 2000) (147 screens)
WG: USD 80,830 (USA) (16 July 2000) (160 screens)
WG: USD 95,156 (USA) (9 July 2000) (174 screens)
WG: USD 125,463 (USA) (2 July 2000) (232 screens)
WG: USD 17,431 (USA) (25 June 2000) (44 screens)
WG: USD 38,773 (USA) (18 June 2000) (92 screens)
WG: USD 82,776 (USA) (11 June 2000) (134 screens)
WG: USD 122,853 (USA) (4 June 2000) (168 screens)
WG: USD 244,061 (USA) (28 May 2000) (243 screens)
WG: USD 575,144 (USA) (21 May 2000) (778 screens)
WG: USD 1,465,827 (USA) (14 May 2000) (1,755 screens)
WG: USD 2,354,619 (USA) (7 May 2000) (2,413 screens)
WG: USD 4,001,803 (USA) (30 April 2000) (2,523 screens)
WG: USD 7,301,753 (USA) (23 April 2000) (2,523 screens)
WG: USD 10,310,672 (USA) (16 April 2000) (2,523 screens)
WG: GBP 34,316 (UK) (2 July 2000) (70 screens)
WG: GBP 97,671 (UK) (25 June 2000) (129 screens)
WG: GBP 127,743 (UK) (18 June 2000) (162 screens)"
1679461,"GR: USD 308,082 (USA) (19 April 1998)
GR: USD 150,127 (USA) (12 April 1998)
GR: USD 375,805 (USA)

OW: USD 150,127 (USA) (12 April 1998) (120 screens)"
1679507,"BT: USD 6,000,000

GR: USD 9,821,335 (USA) (4 June 2000)
GR: USD 9,818,468 (USA) (28 May 2000)
GR: USD 9,812,912 (USA) (21 May 2000)
GR: USD 9,806,095 (USA) (14 May 2000)
GR: USD 9,795,974 (USA) (7 May 2000)
GR: USD 9,782,787 (USA) (30 April 2000)
GR: USD 9,766,618 (USA) (23 April 2000)
GR: USD 9,736,551 (USA) (16 April 2000)
GR: USD 9,682,567 (USA) (9 April 2000)
GR: USD 9,589,919 (USA) (2 April 2000)
GR: USD 9,328,711 (USA) (26 March 2000)
GR: USD 8,748,772 (USA) (19 March 2000)
GR: USD 7,256,106 (USA) (12 March 2000)
GR: USD 4,575,673 (USA) (5 March 2000)

OW: USD 3,684,704 (USA) (5 March 2000) (678 screens)

WG: USD 2,014 (USA) (4 June 2000) (8 screens)
WG: USD 3,640 (USA) (28 May 2000) (9 screens)
WG: USD 3,907 (USA) (21 May 2000) (14 screens)
WG: USD 6,944 (USA) (14 May 2000) (21 screens)
WG: USD 8,816 (USA) (7 May 2000) (29 screens)
WG: USD 9,600 (USA) (30 April 2000) (37 screens)
WG: USD 16,004 (USA) (23 April 2000) (56 screens)
WG: USD 38,601 (USA) (16 April 2000) (103 screens)
WG: USD 53,129 (USA) (9 April 2000) (129 screens)
WG: USD 150,358 (USA) (2 April 2000) (301 screens)
WG: USD 372,950 (USA) (26 March 2000) (544 screens)
WG: USD 989,630 (USA) (19 March 2000) (678 screens)
WG: USD 1,864,844 (USA) (12 March 2000) (678 screens)
WG: USD 3,684,704 (USA) (5 March 2000) (678 screens)"
1681633,"CP: © MCMLXXXVI Cannon Films, Inc. and Cannon International B.V. (on print)

GR: USD 5,186,646 (USA) (21 December 1986)
GR: USD 5,130,770 (USA) (14 December 1986)
GR: USD 5,030,447 (USA) (7 December 1986)
GR: USD 4,844,010 (USA) (30 November 1986)
GR: USD 4,275,844 (USA) (23 November 1986)
GR: USD 3,421,322 (USA) (16 November 1986)
GR: USD 1,654,835 (USA) (9 November 1986)
GR: USD 5,186,646 (USA)
GR: USD 189,178 (Germany)

OW: USD 1,654,835 (USA) (9 November 1986) (730 screens)

WG: USD 25,250 (USA) (21 December 1986) (48 screens)
WG: USD 50,691 (USA) (14 December 1986) (152 screens)
WG: USD 120,621 (USA) (7 December 1986) (217 screens)
WG: USD 420,809 (USA) (30 November 1986) (298 screens)
WG: USD 504,613 (USA) (23 November 1986) (426 screens)
WG: USD 1,162,767 (USA) (16 November 1986) (728 screens)
WG: USD 1,654,835 (USA) (9 November 1986) (730 screens)"
1681655,"AD: 4,586 (Netherlands) (31 December 1999)

BT: USD 13,000,000

CP: (1998) Miramax Film Corp.

GR: USD 16,574,731 (USA) (27 September 1998)
GR: USD 16,214,148 (USA) (20 September 1998)
GR: USD 15,154,617 (USA) (13 September 1998)
GR: USD 6,611,532 (USA) (30 August 1998)
GR: GBP 99,823 (UK) (24 January 1999)

OW: USD 6,611,532 (USA) (30 August 1998) (1,859 screens)
OW: GBP 99,823 (UK) (24 January 1999) (97 screens)

PD: 29 September 1997 - ?

SD: 29 September 1997 - 26 November 1997

WG: USD 4,025,576 (USA) (6 September 1998) (1,869 screens)
WG: USD 6,611,532 (USA) (30 August 1998) (1,859 screens)
WG: GBP 99,823 (UK) (24 January 1999) (97 screens)"
