movieid,businesstext
1734369,"GR: USD 160,00 (USA)"
1734803,"AD: 146,785 (Sweden)

BT: USD 31,000,000

CP: Copyright © MCMXC HOLLYWOOD PICTURES COMPANY and AMBLIN ENTERTAINMENT, INC. All rights reserved.

GR: USD 53,133,888 (USA)
GR: SEK 7,562,984 (Sweden)

PD: 28 November 1989 - ?

RT: USD 31,366,000 (USA)

SD: 4 December 1989 - 11 April 1990"
1735791,"GR: USD 47,044 (USA) (19 January 1998)
GR: USD 19,845 (USA) (11 January 1998)

OW: USD 19,845 (USA) (11 January 1998) (1 screen)"
1736211,"AD: 264,630 (Netherlands) (31 December 1999)

BT: USD 21,500,000

GR: USD 24,362,501 (USA) (26 September 1999)
GR: USD 24,260,975 (USA) (19 September 1999)
GR: USD 24,101,524 (USA) (12 September 1999)
GR: USD 23,968,316 (USA) (5 September 1999)
GR: USD 23,902,034 (USA) (29 August 1999)
GR: USD 23,818,174 (USA) (22 August 1999)
GR: USD 23,683,007 (USA) (15 August 1999)
GR: USD 23,318,861 (USA) (8 August 1999)
GR: USD 22,242,239 (USA) (1 August 1999)
GR: USD 19,607,990 (USA) (25 July 1999)
GR: USD 14,704,862 (USA) (18 July 1999)
GR: USD 7,515,145 (USA) (11 July 1999)
GR: GBP 1,715,280 (UK) (11 April 1999)
GR: GBP 1,491,265 (UK) (4 April 1999)
GR: GBP 1,103,769 (UK) (28 March 1999)
GR: GBP 527,427 (UK) (21 March 1999)
GR: USD 41,067,311 (Worldwide) (26 September 1999)

OW: USD 7,515,145 (USA) (11 July 1999) (1,631 screens)
OW: GBP 527,427 (UK) (21 March 1999) (231 screens)

SD: 2 February 1998 - 21 April 1998

WG: USD 7,515,145 (USA) (11 July 1999) (1,631 screens)
WG: GBP 81,187 (UK) (11 April 1999) (126 screens)
WG: GBP 184,873 (UK) (4 April 1999) (196 screens)
WG: GBP 298,941 (UK) (28 March 1999) (227 screens)
WG: GBP 527,427 (UK) (21 March 1999) (231 screens)"
1736268,"AD: 4,479,748 (France) (13 October 1998)
AD: 3,859,295 (France) (9 September 1998)
AD: 48,733 (France) (opening day)
AD: 5,048,194 (Germany) (13 September 1998)
AD: 4,933,193 (Germany) (6 September 1998)
AD: 4,510,696 (Germany) (23 August 1998)
AD: 4,174,031 (Germany) (16 August 1998)
AD: 2,293,708 (Germany) (26 July 1998)
AD: 1,274,643 (Germany) (19 July 1998) (opening weekend)
AD: 747,213 (Netherlands) (31 December 1998)
AD: 2,473,657 (Spain)
AD: 592,752 (Sweden) (31 December 1998)

BT: USD 140,000,000

CP: Copyright © MCMXCVIII Touchstone Pictures and Jerry Bruckheimer Inc.

GR: USD 201,573,391 (USA) (6 December 1998)
GR: USD 201,551,346 (USA) (29 November 1998)
GR: USD 201,470,728 (USA) (22 November 1998)
GR: USD 201,331,567 (USA) (15 November 1998)
GR: USD 201,046,133 (USA) (8 November 1998)
GR: USD 200,662,652 (USA) (1 November 1998)
GR: USD 200,231,869 (USA) (25 October 1998)
GR: USD 199,629,136 (USA) (18 October 1998)
GR: USD 198,798,517 (USA) (11 October 1998)
GR: USD 197,914,090 (USA) (4 October 1998)
GR: USD 197,134,670 (USA) (27 September 1998)
GR: USD 195,835,936 (USA) (20 September 1998)
GR: USD 194,125,324 (USA) (13 September 1998)
GR: USD 188,540,431 (USA) (30 August 1998)
GR: USD 184,993,784 (USA) (23 August 1998)
GR: USD 180,032,498 (USA) (16 August 1998)
GR: USD 172,771,899 (USA) (9 August 1998)
GR: USD 149,607,826 (USA) (26 July 1998)
GR: USD 129,134,246 (USA) (19 July 1998)
GR: USD 99,860,537 (USA) (12 July 1998)
GR: USD 54,202,675 (USA) (5 July 1998)
GR: GBP 16,401,954 (UK) (11 October 1998)
GR: GBP 16,259,928 (UK) (4 October 1998)
GR: GBP 15,978,907 (UK) (27 September 1998)
GR: GBP 15,606,028 (UK) (20 September 1998)
GR: GBP 15,075,989 (UK) (13 September 1998)
GR: GBP 14,166,197 (UK) (6 September 1998)
GR: GBP 12,514,655 (UK) (30 August 1998)
GR: GBP 10,307,264 (UK) (23 August 1998)
GR: GBP 6,990,993 (UK) (16 August 1998)
GR: GBP 2,732,785 (UK) (9 August 1998)
GR: USD 553,709,788 (Worldwide) (12 August 2012)
GR: USD 251,200,000 (Worldwide) (20 December 1998) (except USA)
GR: USD 226,900,000 (Worldwide) (11 October 1998) (except USA)
GR: USD 223,500,000 (Worldwide) (4 October 1998) (except USA)
GR: USD 143,500,000 (Worldwide) (23 August 1998) (except USA)
GR: USD 118,500,000 (Worldwide) (16 August 1998) (except USA)
GR: USD 89,000,000 (Worldwide) (9 August 1998) (except USA)
GR: DEM 28,018,551 (Germany) (26 July 1998)
GR: SGD 2,630,000 (Singapore)
GR: EUR 8,594,093 (Spain)

OW: USD 36,089,972 (USA) (5 July 1998) (3,127 screens)
OW: GBP 2,732,785 (UK) (9 August 1998) (445 screens)

PD: August 1997 - January 1998

RT: USD 104,806,521 (USA)

SD: 27 August 1997 - 29 January 1998

WG: USD 1,254,927 (USA) (20 September 1998) (1,259 screens)
WG: USD 1,581,421 (USA) (13 September 1998) (1,334 screens)
WG: USD 4,138,566 (USA) (16 August 1998) (1,786 screens)
WG: USD 5,318,807 (USA) (9 August 1998) (2,123 screens)
WG: USD 7,561,217 (USA) (2 August 1998) (2,491 screens)
WG: USD 11,159,371 (USA) (26 July 1998) (3,127 screens)
WG: USD 16,591,782 (USA) (19 July 1998) (3,184 screens)
WG: USD 23,557,064 (USA) (12 July 1998) (3,136 screens)
WG: USD 36,089,972 (USA) (5 July 1998) (3,127 screens)
WG: GBP 74,473 (UK) (11 October 1998) (125 screens)
WG: GBP 181,199 (UK) (4 October 1998) (157 screens)
WG: GBP 238,958 (UK) (27 September 1998) (179 screens)
WG: GBP 319,441 (UK) (20 September 1998) (215 screens)
WG: GBP 504,770 (UK) (13 September 1998) (256 screens)
WG: GBP 796,753 (UK) (6 September 1998) (325 screens)
WG: GBP 1,015,039 (UK) (30 August 1998) (387 screens)
WG: GBP 1,687,625 (UK) (23 August 1998) (437 screens)
WG: GBP 2,243,095 (UK) (16 August 1998) (456 screens)
WG: GBP 2,732,785 (UK) (9 August 1998) (445 screens)
WG: DEM 8,023,949 (Germany) (26 July 1998) (915 screens)"
1736362,"BT: USD 12,000,000

GR: USD 15,945,534 (USA)"
1736592,"AD: 557,418 (Germany) (1993)
AD: 324,300 (Spain)

BT: USD 13,000,000

CP: © 1992 Dino De Laurentiis Communications

GR: USD 11,502,976 (USA)
GR: GBP 559,298 (UK)
GR: USD 21,500,000 (Worldwide)
GR: AUD 767,671 (Australia) (1993)
GR: USD 3,133,242 (Germany) (1993)
GR: HKD 2,423,000 (Hong Kong) (15 September 1993)
GR: ITL 1,583,000,000 (Italy) (1 April 1993)
GR: ESP 145,890,000 (Spain) (1993)

OW: USD 4,424,000 (USA) (21 February 1993) (1,387 screens)

PD: 1991 -

SD: 20 May 1991 - 16 August 1991"
1736794,"AD: 6,409 (Estonia)
AD: 1,202,755 (Germany) (13 February 2005)
AD: 1,114,339 (Germany) (6 February 2005)
AD: 1,045,039 (Germany) (30 January 2005)
AD: 952,319 (Germany) (23 January 2005)
AD: 835,307 (Germany) (16 January 2005)
AD: 695,610 (Germany) (6 January 2005)
AD: 120,705 (Germany) (26 December 2004)

BT: USD 110,000,000

CP: © Copyright 2004 Balloon Productions, LLC (on print)

GR: USD 24,004,159 (USA) (12 September 2004)
GR: USD 23,976,128 (USA) (5 September 2004)
GR: USD 23,904,717 (USA) (29 August 2004)
GR: USD 23,775,251 (USA) (22 August 2004)
GR: USD 23,519,011 (USA) (15 August 2004)
GR: USD 23,172,673 (USA) (8 August 2004)
GR: USD 22,941,725 (USA) (1 August 2004)
GR: USD 22,804,073 (USA) (25 July 2004)
GR: USD 22,626,931 (USA) (18 July 2004)
GR: USD 22,271,008 (USA) (11 July 2004)
GR: USD 21,473,814 (USA) (4 July 2004)
GR: USD 18,281,896 (USA) (27 June 2004)
GR: USD 10,362,264 (USA) (20 June 2004)
GR: GBP 3,971,126 (UK) (1 August 2004)
GR: GBP 3,563,635 (UK) (25 July 2004)
GR: GBP 2,746,749 (UK) (18 July 2004)
GR: GBP 1,631,963 (UK) (11 July 2004)
GR: USD 48,170,758 (Worldwide) (except USA)
GR: USD 72,178,895 (Worldwide)
GR: EUR 1,478,783 (Italy) (10 April 2005)
GR: EUR 1,458,236 (Italy) (13 March 2005)
GR: EUR 495,696 (Italy) (30 January 2005)
GR: EUR 180,890 (Netherlands) (22 August 2004)
GR: THB 258,500 (Thailand) (20 June 2004)

OW: USD 7,576,132 (USA) (20 June 2004) (2,801 screens)
OW: GBP 1,631,963 (UK) (11 July 2004) (389 screens)
OW: FIM 11,344 (Finland) (24 June 2004) (10 screens)
OW: HKD 53,852 (Hong Kong) (20 June 2004)
OW: EUR 493,693 (Italy) (30 January 2005) (146 screens)
OW: THB 221,900 (Thailand) (20 June 2004)

SD: 13 March 2003 - ?

WG: USD 15,965 (USA) (12 September 2004) (27 screens)
WG: USD 43,620 (USA) (5 September 2004) (63 screens)
WG: USD 60,983 (USA) (29 August 2004) (116 screens)
WG: USD 134,453 (USA) (22 August 2004) (193 screens)
WG: USD 190,366 (USA) (15 August 2004) (226 screens)
WG: USD 211,565 (USA) (8 August 2004) (234 screens)
WG: USD 75,226 (USA) (1 August 2004) (76 screens)
WG: USD 76,304 (USA) (25 July 2004) (105 screens)
WG: USD 131,996 (USA) (18 July 2004) (149 screens)
WG: USD 343,070 (USA) (11 July 2004) (318 screens)
WG: USD 1,511,503 (USA) (4 July 2004) (1,271 screens)
WG: USD 4,274,941 (USA) (27 June 2004) (2,801 screens)
WG: USD 7,576,132 (USA) (20 June 2004) (2,801 screens)
WG: GBP 100,546 (UK) (1 August 2004) (226 screens)
WG: GBP 332,076 (UK) (25 July 2004) (327 screens)
WG: GBP 547,138 (UK) (18 July 2004) (391 screens)
WG: GBP 1,631,963 (UK) (11 July 2004) (389 screens)
WG: EUR 4,431 (Italy) (13 March 2005) (11 screens)
WG: EUR 51,845 (Netherlands) (22 August 2004) (50 screens)
WG: KRW 2,590,000,000 (South Korea) (24 September 2004) (162 screens)"
1737340,"BT: USD 1,120,175

CP: Warner Bros. Pictures Inc.; 6 October 1944; LP12890 (in copyright registry)

PD: 1942 -

SD: 20 October 1941 - 16 December 1941"
1737713,"AD: 2,869 (Germany) (1 June 1998) (opening week)
AD: 8,428 (Netherlands) (31 December 1998)

GR: USD 377,512 (USA) (7 June 1998)
GR: USD 334,186 (USA) (31 May 1998)
GR: USD 275,063 (USA) (25 May 1998)
GR: USD 79,725 (USA) (10 May 1998)

OW: DEM 31,319 (Germany) (1 June 1998) (10 screens)"
1737766,"AD: 103,115 (West Germany) (1982)

BT: USD 7,000,000

GR: USD 88,595,661 (USA) (21 March 1982)
GR: USD 87,797,452 (USA) (14 March 1982)
GR: USD 86,919,765 (USA) (7 March 1982)
GR: USD 85,843,513 (USA) (28 February 1982)
GR: USD 84,620,103 (USA) (21 February 1982)
GR: USD 83,413,846 (USA) (15 February 1982)
GR: USD 82,261,092 (USA) (7 February 1982)
GR: USD 81,814,525 (USA) (31 January 1982)
GR: USD 81,344,631 (USA) (24 January 1982)
GR: USD 80,803,852 (USA) (17 January 1982)
GR: USD 74,651,604 (USA) (6 December 1981)
GR: USD 70,039,803 (USA) (22 November 1981)
GR: USD 68,088,640 (USA) (15 November 1981)
GR: USD 65,752,970 (USA) (8 November 1981)
GR: USD 63,438,928 (USA) (1 November 1981)
GR: USD 59,956,546 (USA) (18 October 1981)
GR: USD 52,922,322 (USA) (4 October 1981)
GR: USD 73,102,503 (USA) (29 September 1981)
GR: USD 50,053,029 (USA) (27 September 1981)
GR: USD 46,731,366 (USA) (20 September 1981)
GR: USD 42,646,628 (USA) (13 September 1981)
GR: USD 56,300,113 (USA) (11 September 1981)
GR: USD 38,663,847 (USA) (7 September 1981)
GR: USD 31,973,249 (USA) (30 August 1981)
GR: USD 26,724,137 (USA) (23 August 1981)
GR: USD 21,743,829 (USA) (16 August 1981)
GR: USD 16,800,890 (USA) (9 August 1981)
GR: USD 11,957,885 (USA) (2 August 1981)
GR: USD 7,711,222 (USA) (26 July 1981)
GR: USD 2,719,534 (USA) (19 July 1981)
GR: USD 95,461,682 (USA)
GR: USD 6,300,000 (UK)
GR: USD 7,053,000 (Australia)

OW: USD 2,719,534 (USA) (19 July 1981) (701 screens)

RT: USD 42,000,000 (USA)

WG: USD 559,968 (USA) (21 March 1982) (395 screens)
WG: USD 617,815 (USA) (14 March 1982) (449 screens)
WG: USD 805,000 (USA) (7 March 1982) (500 screens)
WG: USD 933,000 (USA) (28 February 1982) (575 screens)
WG: USD 997,606 (USA) (21 February 1982) (619 screens)
WG: USD 1,061,498 (USA) (15 February 1982) (583 screens)
WG: USD 337,755 (USA) (7 February 1982) (492 screens)
WG: USD 350,039 (USA) (31 January 1982) (192 screens)
WG: USD 359,415 (USA) (24 January 1982) (282 screens)
WG: USD 586,812 (USA) (17 January 1982) (381 screens)
WG: USD 2,125,599 (USA) (29 November 1981) (821 screens)
WG: USD 1,491,526 (USA) (22 November 1981) (838 screens)
WG: USD 1,655,733 (USA) (15 November 1981) (803 screens)
WG: USD 1,734,076 (USA) (8 November 1981) (838 screens)
WG: USD 1,169,415 (USA) (6 November 1981) (817 screens)
WG: USD 2,136,948 (USA) (1 November 1981) (875 screens)
WG: USD 1,254,295 (USA) (18 October 1981) (636 screens)
WG: USD 2,322,083 (USA) (11 October 1981) (931 screens)
WG: USD 2,111,572 (USA) (4 October 1981) (910 screens)
WG: USD 2,396,551 (USA) (27 September 1981) (925 screens)
WG: USD 2,935,103 (USA) (20 September 1981) (939 screens)
WG: USD 3,002,255 (USA) (13 September 1981) (948 screens)
WG: USD 5,001,805 (USA) (7 September 1981) (949 screens)
WG: USD 3,214,004 (USA) (30 August 1981) (854 screens)
WG: USD 3,088,798 (USA) (23 August 1981) (774 screens)
WG: USD 2,931,246 (USA) (16 August 1981) (661 screens)
WG: USD 3,098,055 (USA) (9 August 1981) (605 screens)
WG: USD 2,403,000 (USA) (2 August 1981) (630 screens)
WG: USD 3,041,995 (USA) (26 July 1981) (705 screens)
WG: USD 2,719,534 (USA) (19 July 1981) (701 screens)"
1738481,"AD: 2,786,327 (Germany) (1 June 1998)
AD: 2,678,965 (Germany) (11 May 1998)
AD: 2,633,035 (Germany) (4 May 1998)
AD: 2,538,215 (Germany) (27 April 1998)
AD: 2,052,260 (Germany) (6 April 1998)
AD: 1,847,022 (Germany) (30 March 1998)
AD: 1,665,804 (Germany) (23 March 1998)
AD: 1,502,399 (Germany) (16 March 1998)
AD: 1,273,264 (Germany) (9 March 1998)
AD: 629,505 (Germany) (23 February 1998)
AD: 264,126 (Germany) (16 February 1998) (opening week)
AD: 3,002,836 (Germany) (1998)
AD: 294,710 (Netherlands) (31 December 1999)
AD: 294,153 (Netherlands) (31 December 1998)
AD: 442,130 (Portugal)
AD: 396,134 (Sweden) (31 December 1998)

BT: USD 50,000,000

CP: © 1997 TriStar Pictures, Inc. (on print); TriStar Pictures, Inc.; 28 January 1998; PA870530 (in copyright registry)

GR: USD 147,637,474 (USA) (21 June 1998)
GR: USD 147,540,545 (USA) (14 June 1998)
GR: USD 147,346,087 (USA) (7 June 1998)
GR: USD 147,047,669 (USA) (31 May 1998)
GR: USD 146,653,084 (USA) (25 May 1998)
GR: USD 146,085,411 (USA) (17 May 1998)
GR: USD 145,568,128 (USA) (10 May 1998)
GR: USD 144,751,251 (USA) (3 May 1998)
GR: USD 143,556,984 (USA) (26 April 1998)
GR: USD 142,064,798 (USA) (19 April 1998)
GR: USD 139,621,599 (USA) (12 April 1998)
GR: USD 136,381,511 (USA) (5 April 1998)
GR: USD 131,786,180 (USA) (29 March 1998)
GR: USD 125,803,127 (USA) (22 March 1998)
GR: USD 121,407,160 (USA) (15 March 1998)
GR: USD 117,231,402 (USA) (8 March 1998)
GR: USD 112,852,318 (USA) (1 March 1998)
GR: USD 107,510,852 (USA) (22 February 1998)
GR: USD 101,614,491 (USA) (15 February 1998)
GR: USD 92,284,397 (USA) (8 February 1998)
GR: USD 85,572,016 (USA) (1 February 1998)
GR: USD 76,623,975 (USA) (25 January 1998)
GR: USD 66,831,247 (USA) (19 January 1998)
GR: USD 54,049,474 (USA) (11 January 1998)
GR: USD 40,722,657 (USA) (4 January 1998)
GR: USD 16,164,889 (USA) (28 December 1997)
GR: USD 148,478,011 (USA)
GR: GBP 9,387,937 (UK) (24 May 1998)
GR: GBP 9,310,277 (UK) (17 May 1998)
GR: GBP 9,193,928 (UK) (10 May 1998)
GR: GBP 8,901,083 (UK) (3 May 1998)
GR: GBP 8,424,484 (UK) (26 April 1998)
GR: GBP 7,723,036 (UK) (19 April 1998)
GR: GBP 6,604,896 (UK) (12 April 1998)
GR: GBP 5,262,448 (UK) (5 April 1998)
GR: GBP 3,807,989 (UK) (29 March 1998)
GR: GBP 2,151,033 (UK) (22 March 1998)
GR: GBP 909,459 (UK) (15 March 1998)
GR: USD 132,700,000 (Worldwide) (10 May 1998) (except USA)
GR: USD 127,000,000 (Worldwide) (3 May 1998) (except USA)
GR: USD 121,300,000 (Worldwide) (26 April 1998) (except USA)
GR: USD 113,500,000 (Worldwide) (19 April 1998) (except USA)
GR: USD 97,000,000 (Worldwide) (12 April 1998) (except USA)
GR: USD 88,100,000 (Worldwide) (5 April 1998) (except USA)
GR: USD 74,300,000 (Worldwide) (29 March 1998) (except USA)
GR: USD 47,000,000 (Worldwide) (15 March 1998) (except USA)
GR: USD 35,300,000 (Worldwide) (8 March 1998) (except USA)
GR: USD 26,100,000 (Worldwide) (1 March 1998) (except USA)
GR: USD 16,600,000 (Worldwide) (22 February 1998) (except USA)
GR: USD 165,700,000 (Worldwide) (except USA)
GR: USD 314,178,011 (Worldwide)
GR: DEM 31,326,580 (Germany) (31 May 1998)
GR: DEM 29,519,546 (Germany) (3 May 1998)
GR: DEM 23,030,280 (Germany) (5 April 1998)
GR: DEM 20,761,334 (Germany) (29 March 1998)
GR: DEM 16,952,882 (Germany) (15 March 1998)
GR: DEM 7,178,935 (Germany) (22 February 1998)
GR: EUR 6,160,391 (Italy)

OW: USD 12,606,928 (USA) (28 December 1997) (1,572 screens)
OW: GBP 909,459 (UK) (15 March 1998) (254 screens)
OW: DEM 3,094,846 (Germany) (15 February 1998) (418 screens)

PD: 24 September 1996 - June 1997

RT: USD 67,926,368 (USA)

SD: 4 November 1996 - 26 January 1997

WG: USD 3,330,431 (USA) (5 April 1998) (1,556 screens)
WG: USD 4,302,498 (USA) (29 March 1998) (1,564 screens)
WG: USD 3,260,123 (USA) (22 March 1998) (1,604 screens)
WG: USD 3,051,172 (USA) (15 March 1998) (1,710 screens)
WG: USD 3,220,350 (USA) (8 March 1998) (1,788 screens)
WG: USD 4,058,350 (USA) (1 March 1998) (1,831 screens)
WG: USD 4,608,900 (USA) (22 February 1998) (1,837 screens)
WG: USD 7,428,700 (USA) (15 February 1998) (1,801 screens)
WG: USD 5,029,396 (USA) (8 February 1998) (1,795 screens)
WG: USD 6,609,700 (USA) (1 February 1998) (1,778 screens)
WG: USD 7,519,940 (USA) (25 January 1998) (1,763 screens)
WG: USD 10,028,920 (USA) (18 January 1998) (1,753 screens)
WG: USD 9,012,839 (USA) (11 January 1998) (1,632 screens)
WG: USD 12,217,707 (USA) (4 January 1998) (1,579 screens)
WG: GBP 48,176 (UK) (24 May 1998) (65 screens)
WG: GBP 40,472 (UK) (17 May 1998) (86 screens)
WG: GBP 136,959 (UK) (10 May 1998) (186 screens)
WG: GBP 257,978 (UK) (3 May 1998) (204 screens)
WG: GBP 409,573 (UK) (26 April 1998) (244 screens)
WG: GBP 534,260 (UK) (19 April 1998) (247 screens)
WG: GBP 724,314 (UK) (12 April 1998) (248 screens)
WG: GBP 804,673 (UK) (5 April 1998) (231 screens)
WG: GBP 1,002,494 (UK) (29 March 1998) (253 screens)
WG: GBP 745,832 (UK) (22 March 1998) (254 screens)
WG: GBP 909,459 (UK) (15 March 1998) (254 screens)
WG: DEM 313,000 (Germany) (31 May 1998) (114 screens)
WG: DEM 805,199 (Germany) (3 May 1998) (243 screens)
WG: DEM 1,224,727 (Germany) (19 April 1998) (297 screens)
WG: DEM 1,679,000 (Germany) (5 April 1998) (344 screens)
WG: DEM 1,439,432 (Germany) (29 March 1998) (326 screens)
WG: DEM 1,849,568 (Germany) (15 March 1998) (447 screens)
WG: DEM 3,067,947 (Germany) (22 February 1998) (450 screens)"
1740732,"AD: 250,000 (France)
AD: 189,187 (Spain)

CP: © MCMLXXXVII CANNON FILMS, INC. and CANNON INTERNATIONAL B.V. (on print)

GR: USD 6,075,793 (USA)

OW: USD 2,787,449 (USA) (9 January 1987) (1,000 screens)

SD: 20 May 1986 - 21 July 1986"
1740752,"AD: 449,376 (France) (28 November 1995)
AD: 504,354 (France)
AD: 683,815 (Germany)

BT: USD 50,000,000

CP: © 1995 Warner Bros.

GR: USD 30,306,268 (USA)
GR: USD 53,200,000 (Worldwide) (except USA)

SD: 6 April 1995 - 24 July 1995"
1740811,"BT: USD 150,000

CP: © MCMLXXVI C K K Corporation

GR: HKD 273,623 (Hong Kong) (1978)
GR: ITL 41,000,000 (Italy) (1982)"
1741682,"AD: 4,402,585 (USA) (1999)
AD: 30,447 (UK) (1999)
AD: 81,796 (Belgium) (1999)
AD: 11,649 (Bulgaria) (1999)
AD: 132,062 (France) (1999)
AD: 21,704 (Germany) (13 June 1999)
AD: 67,027 (Germany) (1999)
AD: 34,853 (Hungary) (1999)
AD: 215,630 (Italy) (1999)
AD: 4,093 (Netherlands) (31 December 1999)
AD: 39,525 (Poland) (1999)
AD: 25,027 (Romania) (1999)
AD: 179,554 (Spain) (30 June 2001)
AD: 4,248 (Sweden) (1999)

BT: USD 60,000,000

GR: USD 22,326,247 (USA) (28 March 1999)
GR: USD 22,290,904 (USA) (21 March 1999)
GR: USD 22,231,572 (USA) (14 March 1999)
GR: USD 22,119,830 (USA) (7 March 1999)
GR: USD 21,992,918 (USA) (28 February 1999)
GR: USD 21,825,447 (USA) (21 February 1999)
GR: USD 21,577,205 (USA) (14 February 1999)
GR: USD 20,665,440 (USA) (7 February 1999)
GR: USD 18,373,276 (USA) (31 January 1999)
GR: USD 14,553,552 (USA) (24 January 1999)
GR: USD 8,444,321 (USA) (17 January 1999)
GR: USD 22,359,652 (USA) (1999)
GR: USD 22,365,133 (USA)
GR: GBP 55,402 (UK) (2 May 1999)
GR: USD 221,011 (UK) (1999)
GR: USD 101,942 (Argentina) (1999)
GR: USD 393,431 (Australia) (1999)
GR: USD 109,871 (Austria) (1999)
GR: USD 32,212 (Chile) (1999)
GR: USD 436,686 (Germany) (1999)
GR: USD 289,934 (Mexico) (1999)
GR: ESP 109,523,700 (Spain) (30 June 2001)
GR: USD 690,651 (Spain) (2001)

OW: USD 8,444,321 (USA) (17 January 1999) (1,814 screens)
OW: GBP 55,402 (UK) (2 May 1999) (127 screens)

PD: 13 January 1998 - ?

SD: 7 January 1998 - 1 April 1998

WG: USD 2,650,442 (USA) (31 January 1999) (1,838 screens)
WG: USD 4,787,150 (USA) (24 January 1999) (1,838 screens)
WG: USD 8,444,321 (USA) (17 January 1999) (1,814 screens)
WG: GBP 55,402 (UK) (2 May 1999) (127 screens)"
1742509,"BT: USD 7,200,000

CP: ©The Merchant Trust Company in Trust, MCMLXXX All rights reserved

GR: USD 12,729,678 (Worldwide) (9 March 2012)

SD: 31 October 1979 - 5 January 1980"
1743028,"BT: USD 90,000"
1743689,"BT: USD 200,000"
1743852,"CP: © United Artists Corporation MCMLXXVII"
1744178,"CP: Granada Film

PD: 18 July 1994 - 1995"
1744391,"BT: USD 2,240,000

CP: Copyright MCMLVIII by Warner Bros. Pictures, Inc. (on print); Warner Bros. Pictures, Inc.; 27 December 1958; LP15313 ; Warner Bros. Pictures, Inc.; 27 December 1958; LP15313 (in copyright registry)

GR: USD 23,300,000 (USA)

RT: USD 9,300,000 (USA)"
1744809,"AD: 26,253 (Germany) (24 November 1997) (opening week)
AD: 6,521 (Netherlands) (31 December 1998)
AD: 6,491 (Netherlands) (1 January 1998)
AD: 68,451 (Spain)

BT: USD 17,000,000

CP: New Line Productions, Inc., 1997

GR: USD 53,868,030 (USA) (28 September 1997)
GR: USD 53,844,716 (USA) (21 September 1997)
GR: USD 53,756,328 (USA) (7 September 1997)
GR: USD 53,705,042 (USA) (1 September 1997)
GR: USD 53,586,412 (USA) (24 August 1997)
GR: USD 53,455,567 (USA) (17 August 1997)
GR: USD 53,280,458 (USA) (10 August 1997)
GR: USD 53,073,687 (USA) (3 August 1997)
GR: USD 52,817,067 (USA) (27 July 1997)
GR: USD 52,428,058 (USA) (20 July 1997)
GR: USD 51,877,181 (USA) (13 July 1997)
GR: USD 50,978,277 (USA) (6 July 1997)
GR: USD 49,981,181 (USA) (29 June 1997)
GR: USD 48,548,047 (USA) (22 June 1997)
GR: USD 46,043,157 (USA) (15 June 1997)
GR: USD 42,884,395 (USA) (8 June 1997)
GR: USD 39,281,393 (USA) (1 June 1997)
GR: USD 35,070,898 (USA) (26 May 1997)
GR: USD 27,507,435 (USA) (18 May 1997)
GR: USD 19,496,896 (USA) (11 May 1997)
GR: USD 9,548,111 (USA) (4 May 1997)
GR: EUR 219,546 (Spain)

OW: USD 9,548,111 (USA) (4 May 1997) (2,187 screens)

RT: USD 24,303,600 (USA)

SD: 5 August 1996 - 12 October 1996"
