actorid,name,sex
7058,"Acosta, David (I)",M
7072,"Acosta, Enrique (I)",M
7075,"Acosta, Eric (II)",M
7126,"Acosta, José Alberto",M
7155,"Acosta, Manuel",M
7197,"Acosta, Richard",M
7246,"Acovone, Jay",M
7306,"Acres, Graham",M
7349,"Acton, David (I)",M
7370,"Acton, Spencer",M
7389,"Acuff, David",M
7390,"Acuff, Eddie",M
7426,"Acunzo, Giseppe",M
7550,"Adachi, Yoshi",M
7598,"Adair, Gilbert",M
7636,"Adair, Robert (I)",M
7650,"Adair, Tim (II)",M
7654,"Adair-Rios, Mark",M
7662,"Adakai-Nez, Randy",M
7716,"Adam, Acram",M
7811,"Adam, Joel",M
7825,"Adam, Ken",M
7882,"Adam, Ronald",M
8124,"Adamonis, John",M
8125,"Adamonis, Kyle",M
8138,"Adamos, Archie",M
8192,"Adams Jr., Quincy",M
8214,"Adams, Albert (I)",M
8257,"Adams, Arthur (I)",M
8260,"Adams, Ash (I)",M
8308,"Adams, Blake",M
8309,"Adams, Bob (I)",M
8325,"Adams, Brandon Quintin",M
8361,"Adams, Bryan (I)",M
8385,"Adams, Carroll",M
8393,"Adams, Cedric (I)",M
8484,"Adams, Daniel (V)",M
8498,"Adams, Dave (I)",M
8519,"Adams, David (VII)",M
8566,"Adams, Doc",M
8571,"Adams, Don (I)",M
8579,"Adams, Donald (I)",M
8595,"Adams, Ed (I)",M
8597,"Adams, Eddie (III)",M
8621,"Adams, Erik",M
8623,"Adams, Ernie (I)",M
8624,"Adams, Ernie (II)",M
8628,"Adams, Evan (I)",M
8652,"Adams, Gary (I)",M
8692,"Adams, Guilford",M
8703,"Adams, Harry",M
8704,"Adams, Harvey",M
8730,"Adams, J. Todd",M
8732,"Adams, J. Wesley",M
8733,"Adams, J.B.",M
8737,"Adams, Jack (IV)",M
8745,"Adams, Jacob (I)",M
8785,"Adams, Jay (I)",M
8794,"Adams, Jeb Stuart",M
8817,"Adams, Jesse (I)",M
8821,"Adams, Jesse (VIII)",M
8832,"Adams, Joe (IV)",M
8883,"Adams, Jonathan (I)",M
8884,"Adams, Jonathan (II)",M
8919,"Adams, Joshua A.",M
8992,"Adams, Lee (I)",M
9014,"Adams, Lloyd",M
9020,"Adams, Lowden",M
9037,"Adams, Manley",M
9049,"Adams, Mark (XIII)",M
9065,"Adams, Martin (I)",M
9071,"Adams, Mason (I)",M
9074,"Adams, Matt (I)",M
9097,"Adams, Michael (I)",M
9180,"Adams, Nick (I)",M
9233,"Adams, Peter (I)",M
9235,"Adams, Peter (V)",M
9244,"Adams, Phil (I)",M
9253,"Adams, R.J.",M
9259,"Adams, Randall (I)",M
9284,"Adams, Richard (VIII)",M
9299,"Adams, Rick (III)",M
9303,"Adams, Rob (I)",M
9308,"Adams, Robert (I)",M
9310,"Adams, Robert (IV)",M
9369,"Adams, Samuel (I)",M
9404,"Adams, Shea (I)",M
9407,"Adams, Simon (I)",M
9419,"Adams, Stan (I)",M
9422,"Adams, Stanley (I)",M
9431,"Adams, Steve (I)",M
9451,"Adams, T.C. (I)",M
9457,"Adams, Ted (I)",M
9462,"Adams, Terry (III)",M
9471,"Adams, Thomas (I)",M
9481,"Adams, Timothy (I)",M
9492,"Adams, Tom (I)",M
9506,"Adams, Tony (I)",M
9557,"Adams, Warren Frederick",M
9577,"Adams, William (II)",M
9581,"Adams, Willie (I)",M
9622,"Adamski, Michael (II)",M
9632,"Adamson, 'J.J.' Joseph Otieno",M
9649,"Adamson, Christopher (I)",M
9650,"Adamson, Chuck",M
9656,"Adamson, David John",M
9661,"Adamson, Frank (I)",M
9670,"Adamson, James (I)",M
9683,"Adamson, Joseph",M
9685,"Adamson, Kent",M
9698,"Adamson, Patrick",M
9703,"Adamson, Raymond",M
9734,"Adamstein, Dana",M
9842,"Adcock, Kirk",M
9860,"Adcox-Hernandez, Thom",M
9968,"Addie, Robert",M
9981,"Addington, John (I)",M
10001,"Addis, Keith",M
10009,"Addis, Richard (I)",M
10013,"Addison, Bernard (I)",M
10054,"Addison, Mark (I)",M
10078,"Addison, Walter",M
10095,"Addobbati, Giuseppe",M
10099,"Addota, Kip",M
10102,"Adducci, Franco",M
10113,"Addy, Mark",M
10119,"Addy, Wesley",M
10120,"Addy, William",M
10128,"Ade, Dayo",M
10132,"Ade, Herbie",M
10196,"Adedunyo, Obaka",M
10236,"Adejugbe, Ayo",M
10345,"Adelman, Jason (I)",M
10356,"Adelman, Skippy",M
10394,"Adelstein, Paul",M
10406,"Adem, Yashaw",M
10421,"Ademir Dos Santos, Jose",M
10491,"Ader, Bob",M
10519,"Aderias, Frank",M
10527,"Aderneck, Stephen",M
10528,"Aderrahim, Ahmed",M
10531,"Ades, Daniel",M
10559,"Adet, Georges",M
10589,"Adeyemi, Ayo",M
10668,"Adi, Cesar",M
10674,"Adiarte, Patrick",M
10698,"Adido, David",M
10765,"Adisa, Lawrence B.",M
10842,"Adjeri, Ranzi",M
10887,"Adkins, David (I)",M
10910,"Adkins, Jeff",M
10927,"Adkins, Loren",M
10950,"Adkins, Richard C.",M
10957,"Adkins, Seth (I)",M
11038,"Adler, Bill (I)",M
11047,"Adler, Bruce",M
11052,"Adler, Charles (I)",M
11084,"Adler, Felix (I)",M
11087,"Adler, Frank J.",M
11105,"Adler, Henry",M
11117,"Adler, Jay",M
11122,"Adler, Jerry (I)",M
11134,"Adler, Jonathan (II)",M
11159,"Adler, Luther",M
11165,"Adler, Matt",M
11168,"Adler, Michael (I)",M
11202,"Adler, Roger",M
11261,"Adlon, Louis",M
11267,"Adlum, Zane",M
11269,"Adly Guirgis, Stephen",M
11438,"Adonis, Frank",M
11465,"Adorf, Mario",M
11499,"Adoti, Razaaq",M
11502,"Adouani, Mustapha",M
11548,"Adriaans, Mark",M
11590,"Adrian, Bob (I)",M
11605,"Adrian, George (I)",M
11625,"Adrian, Mark (II)",M
11644,"Adrian, Walter",M
11703,"Adric, Daniel",M
11723,"Adrisani, Emilio",M
11762,"Adu, Frank",M
11771,"Adu, Robinson Frank",M
11833,"Adway, Dwayne",M
11868,"Adzovic, Jadranka",M
11882,"Adé, Eric",M
11966,"Aeros, Germain",M
12121,"Affif, Ron",M
12127,"Affleck, Ben",M
12130,"Affleck, Casey",M
12137,"Affleck, Rab",M
12193,"Afifi, Mohammed (I)",M
12308,"Afrakhan, Behrooz",M
12398,"Afshar, Ali",M
12544,"Agajanian Jr., J.C.",M
12547,"Agajanian, Christopher J.C.",M
12564,"Agami, Al",M
12629,"Agar, John",M
12663,"Agarwal, Anirudh",M
12712,"Agashe, Mohan",M
12738,"Agata, Toshiya (I)",M
12871,Agee,M
12874,"Agee, Arthur",M
12875,"Agee, Arthur 'Bo'",M
12883,"Agee, Jerry",M
12884,"Agee, Joe 'Sweetie'",M
12899,"Agee, Timothy Dale",M
13061,"Agha, Jalal",M
13146,"Agie, Awaovieyi",M
13167,"Agins, Robert",M
13178,"Agirre, Ramón",M
13307,"Agnew, Iain",M
13310,"Agnew, James D.",M
13334,"Agnew, Spiro",M
13384,"Agona, Joel",M
13484,"Agostino, Salvatore",M
13500,"Agosto, William",M
13513,"Agoun, Nabil",M
13538,"Agrait, Carlos Joshua",M
13559,"Agranov, David",M
13618,"Agress, Harry",M
13621,"Agresta, Mike",M
13625,"Agresti, Ed",M
13636,"Agri, Antonio",M
13669,"Agrusso, Micheal",M
13700,"Aguado, Bill",M
13775,"Aguayo, Richard Todd",M
13825,"Aguero, Juan Manuel",M
13951,"Aguilar Jr., Robert",M
13984,"Aguilar, Andrew (III)",M
13987,"Aguilar, Anthony (I)",M
14017,"Aguilar, Carmelo",M
14083,"Aguilar, G.A.",M
14090,"Aguilar, George (I)",M
14124,"Aguilar, Jesus (I)",M
14144,"Aguilar, Joseph (I)",M
14236,"Aguilar, Perfideo",M
14327,"Aguilera, Eric",M
14525,"Aguirre, Genaro",M
14628,"Aguirre, Sergio (I)",M
14746,"Agustin, Marvin",M
14824,"Ah Mon, Lawrence",M
14882,"Ahamdloo, Hossein",M
14885,"Ahamed, Saikat",M
14951,"Ahdar, David",M
14993,"Ahearne, Tom",M
14994,"Ahed, Benyahim",M
15023,"Ahern, David (I)",M
15028,"Ahern, James 'Sporty'",M
